2026-09-26T08:52:22.413Z [unmapped] start pid 97957: /opt/homebrew/bin/llama-server -m /Users/kidney/models/Qwen3.5-4B-Q4_K_M.gguf --port 8080 -c 16384 --jinja --host 127.0.0.1 -ngl 99
2026-09-26T08:52:22.444Z 0.00.000.475 I srv  llama_server: initializing ...
2026-09-26T08:52:22.609Z 0.00.166.232 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
2026-09-26T08:52:22.610Z 0.00.167.418 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
2026-09-26T08:52:22.611Z 0.00.168.028 I srv    load_model: loading model '/Users/kidney/models/Qwen3.5-4B-Q4_K_M.gguf'
2026-09-26T08:52:25.271Z 0.02.828.464 I cmn          init: llama threadpool init, n_threads = 6
2026-09-26T08:52:25.480Z 0.03.036.889 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 16384, kv_unified = 'true'
2026-09-26T08:52:25.487Z 0.03.044.035 I srv  llama_server: model loaded
2026-09-26T08:52:25.487Z 0.03.044.041 I srv  llama_server: listening on http://127.0.0.1:8080
2026-09-26T08:52:25.487Z 0.03.044.042 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
2026-09-26T08:52:25.939Z [unmapped] ready on :8080 after 3528 ms
2026-09-26T08:52:38.541Z 0.16.098.660 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
2026-09-26T09:03:38.741Z 11.16.297.825 I slot print_timing: id  1 | task 10785 |        eval time =   17120.04 ms /   441 tokens (   38.91 ms per token,    25.70 tokens per second)
2026-09-26T09:03:38.741Z 11.16.297.825 I slot print_timing: id  1 | task 10785 |       total time =   20696.81 ms /  1478 tokens
2026-09-26T09:03:38.741Z 11.16.297.826 I slot print_timing: id  1 | task 10785 |    graphs reused =      11050
2026-09-26T09:03:38.741Z 11.16.298.591 I slot      release: id  1 | task 10785 | stop processing: n_tokens = 4224, truncated = 0
2026-09-26T09:03:39.084Z 11.16.641.406 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 44467765400
2026-09-26T09:03:39.085Z 11.16.641.723 I slot launch_slot_: id  0 | task 11230 | processing task, is_child = 0
2026-09-26T09:03:39.411Z 11.16.967.580 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 44803265836
2026-09-26T09:03:39.412Z 11.16.969.112 I slot launch_slot_: id  3 | task 11231 | processing task, is_child = 0
2026-09-26T09:03:45.164Z 11.22.720.743 I slot print_timing: id  0 | task 11230 | prompt processing, n_tokens =   1642, progress = 0.76, t =   5.75 s / 285.50 tokens per second
2026-09-26T09:03:45.858Z 11.23.415.059 I slot print_timing: id  3 | task 11231 | prompt processing, n_tokens =    406, progress = 0.12, t =   5.75 s / 70.60 tokens per second
2026-09-26T09:03:52.139Z 11.29.696.241 I slot print_timing: id  0 | task 11230 | prompt processing, n_tokens =   2135, progress = 0.99, t =  12.73 s / 167.75 tokens per second
2026-09-26T09:03:52.341Z 11.29.897.731 I slot print_timing: id  3 | task 11231 | prompt processing, n_tokens =   1961, progress = 0.56, t =  12.73 s / 154.09 tokens per second
2026-09-26T09:03:54.171Z 11.31.727.855 I slot print_timing: id  0 | task 11230 | prompt processing, n_tokens =   2154, progress = 1.00, t =  14.76 s / 145.95 tokens per second
2026-09-26T09:03:55.723Z 11.33.280.114 I slot print_timing: id  3 | task 11231 | prompt processing, n_tokens =   2958, progress = 0.85, t =  14.76 s / 200.43 tokens per second
2026-09-26T09:03:57.418Z 11.34.975.690 I slot print_timing: id  3 | task 11231 | prompt processing, n_tokens =   3439, progress = 0.99, t =  18.01 s / 191.00 tokens per second
2026-09-26T09:03:57.617Z 11.35.174.540 I slot print_timing: id  3 | task 11231 | prompt processing, n_tokens =   3470, progress = 1.00, t =  18.20 s / 190.61 tokens per second
2026-09-26T09:04:04.515Z 11.42.071.951 I slot print_timing: id  0 | task 11230 | n_gen =    100, tg =  13.95 t/s, tg_3s =  14.09 t/s
2026-09-26T09:04:04.655Z 11.42.211.584 I slot print_timing: id  3 | task 11231 | n_gen =    100, tg =  14.40 t/s, tg_3s =  14.54 t/s
2026-09-26T09:04:07.562Z 11.45.118.838 I slot print_timing: id  0 | task 11230 | n_gen =    144, tg =  14.10 t/s, tg_3s =  14.44 t/s
2026-09-26T09:04:07.699Z 11.45.255.563 I slot print_timing: id  3 | task 11231 | n_gen =    144, tg =  14.41 t/s, tg_3s =  14.45 t/s
2026-09-26T09:04:10.616Z 11.48.173.610 I slot print_timing: id  0 | task 11230 | n_gen =    188, tg =  14.17 t/s, tg_3s =  14.40 t/s
2026-09-26T09:04:10.755Z 11.48.312.395 I slot print_timing: id  3 | task 11231 | n_gen =    188, tg =  14.41 t/s, tg_3s =  14.39 t/s
2026-09-26T09:04:13.661Z 11.51.218.167 I slot print_timing: id  0 | task 11230 | n_gen =    232, tg =  14.22 t/s, tg_3s =  14.45 t/s
2026-09-26T09:04:13.798Z 11.51.355.411 I slot print_timing: id  3 | task 11231 | n_gen =    232, tg =  14.42 t/s, tg_3s =  14.46 t/s
2026-09-26T09:04:16.724Z 11.54.281.139 I slot print_timing: id  0 | task 11230 | n_gen =    276, tg =  14.24 t/s, tg_3s =  14.37 t/s
2026-09-26T09:04:16.860Z 11.54.417.684 I slot print_timing: id  3 | task 11231 | n_gen =    276, tg =  14.41 t/s, tg_3s =  14.37 t/s
2026-09-26T09:04:19.775Z 11.57.332.386 I slot print_timing: id  0 | task 11230 | n_gen =    320, tg =  14.27 t/s, tg_3s =  14.42 t/s
2026-09-26T09:04:19.919Z 11.57.475.674 I slot print_timing: id  3 | task 11231 | n_gen =    320, tg =  14.41 t/s, tg_3s =  14.39 t/s
2026-09-26T09:04:22.779Z 12.00.336.225 I slot print_timing: id  0 | task 11230 | n_gen =    363, tg =  14.27 t/s, tg_3s =  14.32 t/s
2026-09-26T09:04:22.921Z 12.00.478.070 I slot print_timing: id  3 | task 11231 | n_gen =    363, tg =  14.40 t/s, tg_3s =  14.32 t/s
2026-09-26T09:04:25.363Z 12.02.920.497 I slot print_timing: id  0 | task 11230 | prompt eval time =   18006.31 ms /  2158 tokens (    8.34 ms per token,   119.85 tokens per second)
2026-09-26T09:04:25.363Z 12.02.920.500 I slot print_timing: id  0 | task 11230 |        eval time =   27944.85 ms /   400 tokens (   70.04 ms per token,    14.28 tokens per second)
2026-09-26T09:04:25.363Z 12.02.920.500 I slot print_timing: id  0 | task 11230 |       total time =   45951.15 ms /  2558 tokens
2026-09-26T09:04:25.363Z 12.02.920.501 I slot print_timing: id  0 | task 11230 |    graphs reused =      11443
2026-09-26T09:04:25.365Z 12.02.922.470 I slot      release: id  0 | task 11230 | stop processing: n_tokens = 2557, truncated = 0
2026-09-26T09:04:25.407Z 12.02.964.611 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.688 (> 0.100 thold), f_keep = 0.842
2026-09-26T09:04:25.408Z 12.02.964.714 I slot launch_slot_: id  0 | task 11636 | processing task, is_child = 0
2026-09-26T09:04:26.799Z 12.04.356.557 I slot print_timing: id  3 | task 11231 | n_gen =    400, tg =  13.75 t/s, tg_3s =   9.54 t/s
2026-09-26T09:04:28.858Z 12.06.415.406 I slot print_timing: id  0 | task 11636 | prompt processing, n_tokens =    971, progress = 1.00, t =   3.45 s / 281.45 tokens per second
2026-09-26T09:04:29.860Z 12.07.416.796 I slot print_timing: id  3 | task 11231 | n_gen =    415, tg =  12.90 t/s, tg_3s =   4.90 t/s
2026-09-26T09:04:32.925Z 12.10.481.746 I slot print_timing: id  3 | task 11231 | n_gen =    459, tg =  13.03 t/s, tg_3s =  14.36 t/s
2026-09-26T09:04:35.925Z 12.13.482.247 I slot print_timing: id  0 | task 11636 | n_gen =    100, tg =  14.34 t/s, tg_3s =  14.48 t/s
2026-09-26T09:04:35.925Z 12.13.482.631 I slot print_timing: id  3 | task 11231 | n_gen =    502, tg =  13.13 t/s, tg_3s =  14.33 t/s
2026-09-26T09:04:38.993Z 12.16.549.840 I slot print_timing: id  0 | task 11636 | n_gen =    144, tg =  14.34 t/s, tg_3s =  14.34 t/s
2026-09-26T09:04:38.993Z 12.16.550.374 I slot print_timing: id  3 | task 11231 | n_gen =    546, tg =  13.22 t/s, tg_3s =  14.34 t/s
2026-09-26T09:04:42.017Z 12.19.573.888 I slot print_timing: id  0 | task 11636 | n_gen =    187, tg =  14.31 t/s, tg_3s =  14.22 t/s
2026-09-26T09:04:42.017Z 12.19.574.269 I slot print_timing: id  3 | task 11231 | n_gen =    589, tg =  13.29 t/s, tg_3s =  14.22 t/s
2026-09-26T09:04:45.070Z 12.22.626.779 I slot print_timing: id  0 | task 11636 | n_gen =    230, tg =  14.27 t/s, tg_3s =  14.09 t/s
2026-09-26T09:04:45.070Z 12.22.627.206 I slot print_timing: id  3 | task 11231 | n_gen =    632, tg =  13.34 t/s, tg_3s =  14.08 t/s
2026-09-26T09:04:47.868Z 12.25.424.706 I slot print_timing: id  3 | task 11231 | prompt eval time =   18365.70 ms /  3474 tokens (    5.29 ms per token,   189.16 tokens per second)
2026-09-26T09:04:47.868Z 12.25.424.713 I slot print_timing: id  3 | task 11231 |        eval time =   50089.39 ms /   672 tokens (   74.65 ms per token,    13.40 tokens per second)
2026-09-26T09:04:47.868Z 12.25.424.713 I slot print_timing: id  3 | task 11231 |       total time =   68455.09 ms /  4146 tokens
2026-09-26T09:04:47.868Z 12.25.424.727 I slot print_timing: id  3 | task 11231 |    graphs reused =      11709
2026-09-26T09:04:47.869Z 12.25.425.818 I slot      release: id  3 | task 11231 | stop processing: n_tokens = 4145, truncated = 0
2026-09-26T09:04:47.912Z 12.25.468.903 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.660 (> 0.100 thold), f_keep = 0.837
2026-09-26T09:04:47.912Z 12.25.469.012 I slot launch_slot_: id  3 | task 11911 | processing task, is_child = 0
2026-09-26T09:04:50.271Z 12.27.827.896 I slot print_timing: id  0 | task 11636 | n_gen =    272, tg =  12.75 t/s, tg_3s =   8.08 t/s
2026-09-26T09:04:52.409Z 12.29.966.053 I slot print_timing: id  3 | task 11911 | prompt processing, n_tokens =   1275, progress = 0.90, t =   4.50 s / 283.55 tokens per second
2026-09-26T09:04:54.248Z 12.31.804.921 I slot print_timing: id  0 | task 11636 | n_gen =    274, tg =  10.82 t/s, tg_3s =   0.50 t/s
2026-09-26T09:04:54.248Z 12.31.804.949 I slot print_timing: id  3 | task 11911 | prompt processing, n_tokens =   1787, progress = 1.00, t =   6.34 s / 282.08 tokens per second
2026-09-26T09:04:57.248Z 12.34.805.539 I slot print_timing: id  0 | task 11636 | n_gen =    314, tg =  11.09 t/s, tg_3s =  13.33 t/s
2026-09-26T09:05:00.297Z 12.37.853.619 I slot print_timing: id  0 | task 11636 | n_gen =    357, tg =  11.38 t/s, tg_3s =  14.11 t/s
2026-09-26T09:05:01.501Z 12.39.057.785 I slot print_timing: id  3 | task 11911 | n_gen =    100, tg =  13.98 t/s, tg_3s =  14.12 t/s
2026-09-26T09:05:03.347Z 12.40.903.902 I slot print_timing: id  0 | task 11636 | n_gen =    400, tg =  11.62 t/s, tg_3s =  14.10 t/s
2026-09-26T09:05:04.541Z 12.42.098.178 I slot print_timing: id  3 | task 11911 | n_gen =    143, tg =  14.03 t/s, tg_3s =  14.14 t/s
2026-09-26T09:05:04.753Z 12.42.309.750 I slot print_timing: id  0 | task 11636 | prompt eval time =    3613.30 ms /   975 tokens (    3.71 ms per token,   269.84 tokens per second)
2026-09-26T09:05:04.753Z 12.42.309.757 I slot print_timing: id  0 | task 11636 |        eval time =   35731.64 ms /   420 tokens (   85.28 ms per token,    11.73 tokens per second)
2026-09-26T09:05:04.753Z 12.42.309.758 I slot print_timing: id  0 | task 11636 |       total time =   39344.95 ms /  1395 tokens
2026-09-26T09:05:04.753Z 12.42.309.759 I slot print_timing: id  0 | task 11636 |    graphs reused =      11852
2026-09-26T09:05:04.754Z 12.42.310.922 I slot      release: id  0 | task 11636 | stop processing: n_tokens = 3548, truncated = 0
2026-09-26T09:05:07.551Z 12.45.107.938 I slot print_timing: id  3 | task 11911 | n_gen =    214, tg =  16.22 t/s, tg_3s =  23.59 t/s
2026-09-26T09:05:10.555Z 12.48.112.281 I slot print_timing: id  3 | task 11911 | n_gen =    288, tg =  17.79 t/s, tg_3s =  24.63 t/s
2026-09-26T09:05:13.578Z 12.51.134.820 I slot print_timing: id  3 | task 11911 | n_gen =    360, tg =  18.74 t/s, tg_3s =  23.82 t/s
2026-09-26T09:05:16.583Z 12.54.140.214 I slot print_timing: id  3 | task 11911 | n_gen =    434, tg =  19.54 t/s, tg_3s =  24.62 t/s
2026-09-26T09:05:19.587Z 12.57.144.153 I slot print_timing: id  3 | task 11911 | n_gen =    507, tg =  20.11 t/s, tg_3s =  24.30 t/s
2026-09-26T09:05:22.601Z 13.00.157.786 I slot print_timing: id  3 | task 11911 | n_gen =    580, tg =  20.55 t/s, tg_3s =  24.22 t/s
2026-09-26T09:05:25.612Z 13.03.169.563 I slot print_timing: id  3 | task 11911 | n_gen =    653, tg =  20.90 t/s, tg_3s =  24.24 t/s
2026-09-26T09:05:26.100Z 13.03.657.031 I slot print_timing: id  3 | task 11911 | prompt eval time =    6508.72 ms /  1791 tokens (    3.63 ms per token,   275.17 tokens per second)
2026-09-26T09:05:26.100Z 13.03.657.035 I slot print_timing: id  3 | task 11911 |        eval time =   31679.21 ms /   665 tokens (   47.71 ms per token,    20.96 tokens per second)
2026-09-26T09:05:26.100Z 13.03.657.036 I slot print_timing: id  3 | task 11911 |       total time =   38187.92 ms /  2456 tokens
2026-09-26T09:05:26.100Z 13.03.657.036 I slot print_timing: id  3 | task 11911 |    graphs reused =      12367
2026-09-26T09:05:26.101Z 13.03.658.273 I slot      release: id  3 | task 11911 | stop processing: n_tokens = 5925, truncated = 0
2026-09-26T09:05:26.169Z 13.03.726.224 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.692 (> 0.100 thold), f_keep = 0.587
2026-09-26T09:05:26.170Z 13.03.726.408 I slot launch_slot_: id  3 | task 12580 | processing task, is_child = 0
2026-09-26T09:05:30.034Z 13.07.591.378 I slot print_timing: id  3 | task 12580 | prompt processing, n_tokens =   1556, progress = 1.00, t =   3.59 s / 433.23 tokens per second
2026-09-26T09:05:35.857Z 13.13.414.111 I slot print_timing: id  3 | task 12580 | n_gen =    100, tg =  24.80 t/s, tg_3s =  25.05 t/s
2026-09-26T09:05:38.889Z 13.16.445.752 I slot print_timing: id  3 | task 12580 | n_gen =    176, tg =  24.92 t/s, tg_3s =  25.07 t/s
2026-09-26T09:05:41.918Z 13.19.475.100 I slot print_timing: id  3 | task 12580 | n_gen =    252, tg =  24.97 t/s, tg_3s =  25.09 t/s
2026-09-26T09:05:44.933Z 13.22.489.713 I slot print_timing: id  3 | task 12580 | n_gen =    326, tg =  24.87 t/s, tg_3s =  24.55 t/s
2026-09-26T09:05:47.959Z 13.25.515.826 I slot print_timing: id  3 | task 12580 | n_gen =    401, tg =  24.86 t/s, tg_3s =  24.78 t/s
2026-09-26T09:05:50.991Z 13.28.547.778 I slot print_timing: id  3 | task 12580 | n_gen =    477, tg =  24.89 t/s, tg_3s =  25.07 t/s
2026-09-26T09:05:54.008Z 13.31.565.548 I slot print_timing: id  3 | task 12580 | n_gen =    551, tg =  24.84 t/s, tg_3s =  24.52 t/s
2026-09-26T09:05:57.047Z 13.34.604.708 I slot print_timing: id  3 | task 12580 | n_gen =    626, tg =  24.82 t/s, tg_3s =  24.68 t/s
2026-09-26T09:06:00.076Z 13.37.632.949 I slot print_timing: id  3 | task 12580 | n_gen =    701, tg =  24.81 t/s, tg_3s =  24.77 t/s
2026-09-26T09:06:02.039Z 13.39.596.071 I slot print_timing: id  3 | task 12580 | prompt eval time =    5422.78 ms /  1560 tokens (    3.48 ms per token,   287.68 tokens per second)
2026-09-26T09:06:02.039Z 13.39.596.074 I slot print_timing: id  3 | task 12580 |        eval time =   30173.51 ms /   748 tokens (   40.39 ms per token,    24.76 tokens per second)
2026-09-26T09:06:02.039Z 13.39.596.075 I slot print_timing: id  3 | task 12580 |       total time =   35596.29 ms /  2308 tokens
2026-09-26T09:06:02.039Z 13.39.596.075 I slot print_timing: id  3 | task 12580 |    graphs reused =      13112
2026-09-26T09:06:02.041Z 13.39.598.177 I slot      release: id  3 | task 12580 | stop processing: n_tokens = 5777, truncated = 0
2026-09-26T09:07:17.256Z 14.54.812.933 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 44822090632
2026-09-26T09:07:17.257Z 14.54.813.897 I slot launch_slot_: id  2 | task 13332 | processing task, is_child = 0
2026-09-26T09:07:22.027Z 14.59.583.824 I slot print_timing: id  2 | task 13332 | n_gen =    100, tg =  26.34 t/s, tg_3s =  26.61 t/s
2026-09-26T09:07:25.036Z 15.02.592.771 I slot print_timing: id  2 | task 13332 | n_gen =    181, tg =  26.60 t/s, tg_3s =  26.92 t/s
2026-09-26T09:07:28.070Z 15.05.627.153 I slot print_timing: id  2 | task 13332 | n_gen =    262, tg =  26.63 t/s, tg_3s =  26.69 t/s
2026-09-26T09:07:31.083Z 15.08.639.959 I slot print_timing: id  2 | task 13332 | n_gen =    342, tg =  26.61 t/s, tg_3s =  26.55 t/s
2026-09-26T09:07:34.085Z 15.11.642.317 I slot print_timing: id  2 | task 13332 | n_gen =    422, tg =  26.62 t/s, tg_3s =  26.65 t/s
2026-09-26T09:07:37.118Z 15.14.675.463 I slot print_timing: id  2 | task 13332 | n_gen =    502, tg =  26.58 t/s, tg_3s =  26.38 t/s
2026-09-26T09:07:40.138Z 15.17.695.381 I slot print_timing: id  2 | task 13332 | n_gen =    582, tg =  26.57 t/s, tg_3s =  26.49 t/s
2026-09-26T09:07:43.145Z 15.20.702.116 I slot print_timing: id  2 | task 13332 | n_gen =    662, tg =  26.57 t/s, tg_3s =  26.61 t/s
2026-09-26T09:07:44.570Z 15.22.127.160 I slot print_timing: id  2 | task 13332 | prompt eval time =     751.22 ms /   116 tokens (    6.48 ms per token,   154.42 tokens per second)
2026-09-26T09:07:44.570Z 15.22.127.164 I slot print_timing: id  2 | task 13332 |        eval time =   26301.94 ms /   700 tokens (   37.63 ms per token,    26.58 tokens per second)
2026-09-26T09:07:44.570Z 15.22.127.165 I slot print_timing: id  2 | task 13332 |       total time =   27053.16 ms /   816 tokens
2026-09-26T09:07:44.570Z 15.22.127.165 I slot print_timing: id  2 | task 13332 |    graphs reused =      13807
2026-09-26T09:07:44.570Z 15.22.127.375 I slot      release: id  2 | task 13332 | stop processing: n_tokens = 815, truncated = 0
2026-09-26T09:08:28.482Z 16.06.038.353 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.142
2026-09-26T09:08:28.578Z 16.06.135.320 I slot launch_slot_: id  2 | task 14035 | processing task, is_child = 0
2026-09-26T09:08:32.601Z 16.10.158.457 I slot print_timing: id  2 | task 14035 | n_gen =    100, tg =  25.69 t/s, tg_3s =  25.95 t/s
2026-09-26T09:08:35.632Z 16.13.189.519 I slot print_timing: id  2 | task 14035 | n_gen =    180, tg =  26.00 t/s, tg_3s =  26.39 t/s
2026-09-26T09:08:38.637Z 16.16.194.178 I slot print_timing: id  2 | task 14035 | n_gen =    256, tg =  25.79 t/s, tg_3s =  25.29 t/s
2026-09-26T09:08:41.647Z 16.19.204.446 I slot print_timing: id  2 | task 14035 | n_gen =    338, tg =  26.12 t/s, tg_3s =  27.24 t/s
2026-09-26T09:08:44.671Z 16.22.228.650 I slot print_timing: id  2 | task 14035 | n_gen =    421, tg =  26.38 t/s, tg_3s =  27.45 t/s
2026-09-26T09:08:47.695Z 16.25.251.929 I slot print_timing: id  2 | task 14035 | n_gen =    503, tg =  26.49 t/s, tg_3s =  27.12 t/s
2026-09-26T09:08:50.726Z 16.28.283.461 I slot print_timing: id  2 | task 14035 | n_gen =    586, tg =  26.62 t/s, tg_3s =  27.38 t/s
2026-09-26T09:08:53.734Z 16.31.290.797 I slot print_timing: id  2 | task 14035 | n_gen =    665, tg =  26.57 t/s, tg_3s =  26.27 t/s
2026-09-26T09:08:55.014Z 16.32.571.030 I slot print_timing: id  2 | task 14035 | prompt eval time =     169.51 ms /     4 tokens (   42.38 ms per token,    23.60 tokens per second)
2026-09-26T09:08:55.014Z 16.32.571.040 I slot print_timing: id  2 | task 14035 |        eval time =   26266.14 ms /   700 tokens (   37.58 ms per token,    26.61 tokens per second)
2026-09-26T09:08:55.014Z 16.32.571.041 I slot print_timing: id  2 | task 14035 |       total time =   26435.65 ms /   704 tokens
2026-09-26T09:08:55.014Z 16.32.571.042 I slot print_timing: id  2 | task 14035 |    graphs reused =      14502
2026-09-26T09:08:55.014Z 16.32.571.168 I slot      release: id  2 | task 14035 | stop processing: n_tokens = 815, truncated = 0
2026-09-26T09:09:09.796Z 16.47.352.885 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.975 (> 0.100 thold), f_keep = 0.141
2026-09-26T09:09:09.937Z 16.47.493.679 I slot launch_slot_: id  2 | task 14736 | processing task, is_child = 0
2026-09-26T09:09:14.383Z 16.51.940.124 I slot print_timing: id  2 | task 14736 | n_gen =    100, tg =  23.48 t/s, tg_3s =  23.72 t/s
2026-09-26T09:09:17.398Z 16.54.955.263 I slot print_timing: id  2 | task 14736 | n_gen =    184, tg =  25.31 t/s, tg_3s =  27.86 t/s
2026-09-26T09:09:20.405Z 16.57.961.739 I slot print_timing: id  2 | task 14736 | n_gen =    269, tg =  26.18 t/s, tg_3s =  28.27 t/s
2026-09-26T09:09:22.691Z 17.00.247.721 I slot print_timing: id  2 | task 14736 | prompt eval time =     230.59 ms /     6 tokens (   38.43 ms per token,    26.02 tokens per second)
2026-09-26T09:09:22.691Z 17.00.247.725 I slot print_timing: id  2 | task 14736 |        eval time =   12523.39 ms /   332 tokens (   37.84 ms per token,    26.43 tokens per second)
2026-09-26T09:09:22.691Z 17.00.247.725 I slot print_timing: id  2 | task 14736 |       total time =   12753.98 ms /   338 tokens
2026-09-26T09:09:22.691Z 17.00.247.726 I slot print_timing: id  2 | task 14736 |    graphs reused =      14831
2026-09-26T09:09:22.691Z 17.00.247.831 I slot      release: id  2 | task 14736 | stop processing: n_tokens = 449, truncated = 0
2026-09-26T09:09:22.697Z 17.00.254.537 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.263
2026-09-26T09:09:22.799Z 17.00.355.872 I slot launch_slot_: id  2 | task 15070 | processing task, is_child = 0
2026-09-26T09:09:26.714Z 17.04.271.217 I slot print_timing: id  2 | task 15070 | n_gen =    100, tg =  25.90 t/s, tg_3s =  26.16 t/s
2026-09-26T09:09:29.719Z 17.07.275.735 I slot print_timing: id  2 | task 15070 | n_gen =    174, tg =  25.34 t/s, tg_3s =  24.63 t/s
2026-09-26T09:09:32.749Z 17.10.305.948 I slot print_timing: id  2 | task 15070 | n_gen =    249, tg =  25.16 t/s, tg_3s =  24.75 t/s
2026-09-26T09:09:35.776Z 17.13.333.364 I slot print_timing: id  2 | task 15070 | n_gen =    327, tg =  25.30 t/s, tg_3s =  25.76 t/s
2026-09-26T09:09:36.584Z 17.14.141.230 I slot print_timing: id  2 | task 15070 | prompt eval time =      93.02 ms /     4 tokens (   23.26 ms per token,    43.00 tokens per second)
2026-09-26T09:09:36.584Z 17.14.141.235 I slot print_timing: id  2 | task 15070 |        eval time =   13692.26 ms /   349 tokens (   39.35 ms per token,    25.42 tokens per second)
2026-09-26T09:09:36.584Z 17.14.141.236 I slot print_timing: id  2 | task 15070 |       total time =   13785.28 ms /   353 tokens
2026-09-26T09:09:36.584Z 17.14.141.237 I slot print_timing: id  2 | task 15070 |    graphs reused =      15177
2026-09-26T09:09:36.584Z 17.14.141.386 I slot      release: id  2 | task 15070 | stop processing: n_tokens = 466, truncated = 0
2026-09-26T09:10:12.023Z 17.49.579.386 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.253
2026-09-26T09:10:12.124Z 17.49.680.916 I slot launch_slot_: id  2 | task 15420 | processing task, is_child = 0
2026-09-26T09:10:16.168Z 17.53.725.598 I slot print_timing: id  2 | task 15420 | n_gen =    100, tg =  25.39 t/s, tg_3s =  25.64 t/s
2026-09-26T09:10:19.204Z 17.56.760.760 I slot print_timing: id  2 | task 15420 | n_gen =    180, tg =  25.81 t/s, tg_3s =  26.36 t/s
2026-09-26T09:10:22.227Z 17.59.784.268 I slot print_timing: id  2 | task 15420 | n_gen =    259, tg =  25.91 t/s, tg_3s =  26.13 t/s
2026-09-26T09:10:25.233Z 18.02.790.315 I slot print_timing: id  2 | task 15420 | n_gen =    336, tg =  25.84 t/s, tg_3s =  25.62 t/s
2026-09-26T09:10:25.605Z 18.03.161.903 I slot print_timing: id  2 | task 15420 | prompt eval time =     145.21 ms /     4 tokens (   36.30 ms per token,    27.55 tokens per second)
2026-09-26T09:10:25.605Z 18.03.161.906 I slot print_timing: id  2 | task 15420 |        eval time =   13335.69 ms /   346 tokens (   38.65 ms per token,    25.87 tokens per second)
2026-09-26T09:10:25.605Z 18.03.161.907 I slot print_timing: id  2 | task 15420 |       total time =   13480.90 ms /   350 tokens
2026-09-26T09:10:25.605Z 18.03.161.907 I slot print_timing: id  2 | task 15420 |    graphs reused =      15520
2026-09-26T09:10:25.605Z 18.03.162.053 I slot      release: id  2 | task 15420 | stop processing: n_tokens = 463, truncated = 0
2026-09-26T09:10:25.613Z 18.03.170.465 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.255
2026-09-26T09:10:25.757Z 18.03.313.641 I slot launch_slot_: id  2 | task 15767 | processing task, is_child = 0
2026-09-26T09:10:29.778Z 18.07.334.983 I slot print_timing: id  2 | task 15767 | n_gen =    100, tg =  25.20 t/s, tg_3s =  25.45 t/s
2026-09-26T09:10:32.797Z 18.10.353.855 I slot print_timing: id  2 | task 15767 | n_gen =    180, tg =  25.76 t/s, tg_3s =  26.50 t/s
2026-09-26T09:10:34.438Z 18.11.995.443 I slot print_timing: id  2 | task 15767 | prompt eval time =      92.12 ms /     4 tokens (   23.03 ms per token,    43.42 tokens per second)
2026-09-26T09:10:34.438Z 18.11.995.454 I slot print_timing: id  2 | task 15767 |        eval time =    8589.61 ms /   224 tokens (   38.52 ms per token,    25.96 tokens per second)
2026-09-26T09:10:34.438Z 18.11.995.454 I slot print_timing: id  2 | task 15767 |       total time =    8681.74 ms /   228 tokens
2026-09-26T09:10:34.438Z 18.11.995.455 I slot print_timing: id  2 | task 15767 |    graphs reused =      15741
2026-09-26T09:10:34.440Z 18.11.997.407 I slot      release: id  2 | task 15767 | stop processing: n_tokens = 341, truncated = 0
2026-09-26T09:10:34.444Z 18.12.001.200 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.346
2026-09-26T09:10:34.552Z 18.12.109.065 I slot launch_slot_: id  2 | task 15992 | processing task, is_child = 0
2026-09-26T09:10:38.542Z 18.16.098.814 I slot print_timing: id  2 | task 15992 | n_gen =    100, tg =  25.35 t/s, tg_3s =  25.60 t/s
2026-09-26T09:10:41.569Z 18.19.125.936 I slot print_timing: id  2 | task 15992 | n_gen =    175, tg =  25.10 t/s, tg_3s =  24.78 t/s
